symbol,n
301316,731
301317,681
301319,728
301321,39
301322,632
301323,603
301325,187
301326,335
301327,501
301328,745
301329,559
301330,769
301333,799
301336,767
301338,774
301339,755
301345,604
301348,309
301349,735
301356,727
301357,605
301358,649
301360,592
301363,739
301365,702
301366,757
301367,715
301368,451
301369,735
301371,529
301373,650
301376,562
301377,681
301378,152
301379,721
301380,720
301381,547
301382,613
301387,633
301389,723
301391,462
301392,325
301393,541
301396,708
301397,591
301398,705
301408,634
301413,439
301418,531
301419,649
301421,520
301428,346
301439,624
301448,320
301458,180
301468,538
301479,138
301486,307
301487,554
301488,537
301489,480
301498,524
301499,544
301500,524
301502,412
301509,533
301510,537
301511,518
301512,581
301517,255
301520,504
301522,245
301525,520
301526,457
301528,532
301529,502
301535,43
301536,370
301538,391
301548,495
301550,500
301551,271
301552,284
301555,383
301556,249
301557,151
301566,432
301568,444
301571,307
301577,169
301578,436
301580,324
301587,239
301588,418
301589,403
301590,129
301591,392
301592,237
301596,355
301600,265
301603,323
301606,284
301607,270
301608,283
301609,58
301611,282
301613,239
301617,200
301618,249
301622,204
301626,237
301628,225
301629,137
301630,82
301631,217
301633,230
301658,143
301662,123
301665,130
301678,76
600004,859
600006,369
600008,831
600056,840
600057,833
600059,837
600060,629
600062,860
600063,815
600064,855
600067,825
600072,617
600075,593
600078,364
600088,623
600094,411
600095,333
600096,810
600098,840
600100,837
600101,753
600103,817
600105,834
600106,850
600108,601
600109,858
600158,589
600161,860
600162,609
600163,845
600167,855
600170,843
600171,834
600173,337
600177,824
600178,855
600184,834
600191,829
600195,846
600197,603
600201,837
600203,621
600206,828
600208,132
600210,853
600211,816
600216,848
600223,852
600230,854
600236,830
600237,821
600248,851
600251,846
600252,352
600256,855
600258,835
600259,799
600262,816
600266,639
600267,833
600268,842
600269,839
600271,355
600273,817
600282,803
600284,815
600285,815
600288,398
600292,821
600295,833
600298,827
600299,849
600300,820
600301,827
600305,842
600310,827
600312,839
600313,835
600315,860
600316,840
600318,832
600320,854
600325,653
600326,142
600328,838
600329,850
600330,580
600332,833
600335,858
600336,692
600338,854
600339,831
600345,855
600348,853
600350,823
600351,832
600352,845
600353,821
600360,827
600361,836
600363,597
600366,841
600367,825
600368,827
600420,820
600422,622
600428,634
600429,611
600433,576
600435,811
600446,363
600449,825
600452,839
600456,824
600458,858
600459,840
600461,845
600468,849
600475,834
600477,833
600478,389
600479,842
600480,824
600481,344
600483,854
600486,839
600487,841
600488,852
600490,845
600496,832
600497,818
600498,850
600500,121
600501,376
600502,835
600505,850
600506,804
600507,819
600508,834
600509,839
600510,846
600511,835
600513,847
600516,838
600517,841
600521,835
600527,839
600528,639
600529,814
600531,849
600535,821
600536,99
600546,854
600552,832
600556,844
600557,339
600558,666
600559,840
600562,848
600563,831
600566,842
600567,381
600571,860
600572,838
600573,840
600575,828
600577,807
600578,852
600580,803
600582,831
600583,852
600586,592
600587,843
600589,232
600590,839
600592,835
600594,343
600595,820
600596,830
600597,623
600598,815
600602,861
600605,803
600609,820
600611,850
600612,847
600617,330
600618,860
600619,837
600621,673
600623,605
600629,837
600630,629
600633,829
600635,623
600637,858
600640,629
600641,609
600642,852
600643,367
600644,840
600649,848
600655,589
600657,112
600662,626
600663,831
600666,27
600667,842
600675,379
600681,825
600682,612
600685,854
600686,853
600688,613
600693,854
600694,821
600699,823
600702,818
600703,601
600704,850
600707,839
600710,832
600711,818
600713,842
600714,678
600718,603
600720,857
600727,839
600728,842
600729,735
600732,109
600736,850
600737,632
600739,622
600740,833
600746,611
600750,836
600751,836
600754,815
600755,835
600756,339
600757,834
600758,627
600761,823
600763,592
600764,735
600765,816
600773,601
600775,835
600776,622
600779,631
600780,861
600782,826
600783,839
600784,845
600785,839
600787,838
600789,853
600791,132
600792,358
600797,850
600801,833
600808,122
600810,613
600812,830
600820,677
600821,693
600825,820
600826,835
600827,848
600828,314
600829,377
600835,844
600838,629
600839,614
600846,634
600848,848
600850,840
600851,860
600857,821
600859,608
600862,834
600863,861
600864,861
600865,581
600866,858
600867,823
600868,115
600869,850
600872,849
600873,857
600879,848
600880,599
600884,343
600885,810
600888,831
600895,853
600901,831
600903,831
600906,678
600908,847
600909,849
600916,838
