scenario,factor,h,regime,ic_lo,ic_hi,dIC,dt,n_hi,n_lo,dIC_h1,dIC_h2,stable,dt_adj_sqrtN,pass_bonf_z
all,rev5,10,blow_rate,0.036,0.0435,0.0075,0.46,162,163,-0.0079,0.0148,False,0.059,False
all,rev5,10,max_board_height,0.0248,0.0538,0.0291,1.72,156,152,0.0105,0.0464,True,0.22,False
all,rev5,10,lu_premium_1d,0.0204,0.0578,0.0375,2.28,165,162,0.0373,0.0327,True,0.291,False
all,std5,1,limit_up_count,-0.0303,-0.0583,-0.028,-1.2,166,158,-0.029,-0.0235,True,-0.153,False
all,std5,1,limit_up_count_ma5,-0.0523,-0.047,0.0053,0.24,167,165,-0.0128,0.0242,False,0.031,False
all,std5,1,blow_rate,-0.0414,-0.0505,-0.009,-0.42,166,167,0.0096,-0.0206,False,-0.054,False
all,std5,1,max_board_height,-0.0418,-0.0475,-0.0057,-0.24,158,152,-0.0317,0.0197,False,-0.031,False
all,std5,1,lu_premium_1d,-0.0427,-0.0551,-0.0124,-0.54,167,167,-0.0725,0.0455,False,-0.069,False
all,std5,3,limit_up_count,-0.0565,-0.0625,-0.006,-0.27,165,157,-0.0216,0.0162,False,-0.034,False
all,std5,3,limit_up_count_ma5,-0.0509,-0.0709,-0.02,-0.95,167,165,-0.0488,0.0075,False,-0.121,False
all,std5,3,blow_rate,-0.0394,-0.0613,-0.022,-1.0,165,166,-0.0103,-0.0311,True,-0.128,False
all,std5,3,max_board_height,-0.0735,-0.0534,0.0201,0.89,158,152,-0.0159,0.049,False,0.114,False
all,std5,3,lu_premium_1d,-0.0639,-0.0591,0.0048,0.22,166,166,-0.0154,0.0229,False,0.028,False
all,std5,5,limit_up_count,-0.0624,-0.0657,-0.0032,-0.14,165,156,-0.0242,0.0243,False,-0.018,False
all,std5,5,limit_up_count_ma5,-0.0546,-0.0648,-0.0102,-0.46,165,165,-0.0347,0.0134,False,-0.059,False
all,std5,5,blow_rate,-0.0325,-0.0782,-0.0457,-2.04,163,166,-0.0241,-0.0658,True,-0.26,False
all,std5,5,max_board_height,-0.065,-0.0592,0.0058,0.26,158,152,-0.0197,0.027,False,0.033,False
all,std5,5,lu_premium_1d,-0.0595,-0.0629,-0.0034,-0.15,166,164,-0.0034,-0.0036,True,-0.019,False
all,std5,10,limit_up_count,-0.0601,-0.068,-0.0079,-0.36,161,156,-0.0191,0.0073,False,-0.046,False
all,std5,10,limit_up_count_ma5,-0.0502,-0.0789,-0.0287,-1.38,163,165,-0.0398,-0.0171,True,-0.176,False
all,std5,10,blow_rate,-0.0264,-0.0863,-0.0599,-2.9,162,163,-0.0228,-0.0922,True,-0.37,False
all,std5,10,max_board_height,-0.0601,-0.0657,-0.0056,-0.25,156,152,-0.0294,0.0149,False,-0.032,False
all,std5,10,lu_premium_1d,-0.0748,-0.0504,0.0244,1.13,165,162,0.0235,0.0222,True,0.144,False
all,std20,1,limit_up_count,-0.0304,-0.0575,-0.0271,-0.96,166,158,-0.0089,-0.0443,True,-0.123,False
all,std20,1,limit_up_count_ma5,-0.0502,-0.0533,-0.0031,-0.11,167,165,-0.0163,0.0111,False,-0.014,False
all,std20,1,blow_rate,-0.046,-0.0538,-0.0078,-0.29,166,167,0.008,-0.017,False,-0.037,False
all,std20,1,max_board_height,-0.0482,-0.0447,0.0035,0.12,158,152,-0.0278,0.0399,False,0.015,False
all,std20,1,lu_premium_1d,-0.0393,-0.0539,-0.0146,-0.52,167,167,-0.0921,0.0593,False,-0.066,False
all,std20,3,limit_up_count,-0.0552,-0.061,-0.0058,-0.21,165,157,-0.0061,0.0016,False,-0.027,False
all,std20,3,limit_up_count_ma5,-0.0499,-0.0762,-0.0263,-1.01,167,165,-0.0497,-0.0036,True,-0.129,False
all,std20,3,blow_rate,-0.0365,-0.0694,-0.0329,-1.21,165,166,-0.029,-0.0402,True,-0.154,False
all,std20,3,max_board_height,-0.0848,-0.0461,0.0387,1.38,158,152,-0.0111,0.0796,False,0.176,False
all,std20,3,lu_premium_1d,-0.0651,-0.0563,0.0088,0.33,166,166,-0.0213,0.0338,False,0.042,False
all,std20,5,limit_up_count,-0.0566,-0.0617,-0.0051,-0.18,165,156,-0.0091,0.008,False,-0.023,False
all,std20,5,limit_up_count_ma5,-0.0502,-0.0661,-0.0159,-0.59,165,165,-0.0317,0.0006,False,-0.075,False
