date,n_stocks,mkt_ret,limit_up_count,touched_count,max_board_height,blow_count,blow_rate,lu_premium_1d,lu_cont_n,limit_up_count_ma5
2025-06-16,4853,0.008458334765369288,50,75,4,25,0.3333333333333333,0.027408547291797605,45,48.0
2025-06-17,4855,-0.0009771714920959915,41,67,3,26,0.3880597014925373,0.013159097220141533,50,47.6
2025-06-18,4855,-0.0031273779813005146,33,59,4,26,0.4406779661016949,0.010436725436515755,41,45.0
2025-06-19,4855,-0.016793439480127674,28,47,5,19,0.40425531914893614,0.030519512804300042,33,39.4
2025-06-20,4856,-0.0064437636245713355,41,60,6,19,0.31666666666666665,0.01887245576278234,28,38.6
2025-06-23,4855,0.015596779148099,66,84,7,18,0.21428571428571427,0.030288592997134583,41,41.8
2025-06-24,4856,0.01937535321843286,59,82,6,23,0.2804878048780488,-0.0049267822632111,65,45.4
2025-06-25,4856,0.009475029709296368,58,84,7,26,0.30952380952380953,0.026367138806222573,59,50.4
2025-06-26,4856,-0.0023949651253242356,50,81,5,31,0.38271604938271603,0.028241266083742174,58,54.8
2025-06-27,4856,0.00530052428551361,51,86,4,35,0.4069767441860465,0.0002575412296144221,50,56.8
2025-06-30,4853,0.013406958711650716,74,97,5,23,0.23711340206185566,0.030802169794159222,51,58.4
2025-07-01,4854,0.0037047615038280153,56,93,4,37,0.3978494623655914,0.020378201550276653,74,57.8
2025-07-02,4853,-0.004588634502032657,57,84,5,27,0.32142857142857145,0.0023265682280723017,56,57.6
2025-07-03,4854,0.005982185713841675,57,77,6,20,0.2597402597402597,0.007417861078246514,57,59.0
2025-07-04,4854,-0.007915616522231245,34,63,4,29,0.4603174603174603,0.010773168840027518,57,55.6
2025-07-07,4855,0.00648192668006328,60,77,3,17,0.22077922077922077,0.03308433886050935,34,52.8
2025-07-08,4854,0.011774542894534173,61,83,4,22,0.26506024096385544,0.016180452164948927,60,53.8
2025-07-09,4856,-0.0010042906746726985,51,85,5,34,0.4,0.035055442881331396,61,52.6
2025-07-10,4855,0.0021828660424396823,58,84,6,26,0.30952380952380953,0.02909471837400964,51,52.8
2025-07-11,4857,0.0038852345778231713,56,85,5,29,0.3411764705882353,0.020415080188644297,58,57.2
2025-07-14,4859,0.005755523166461255,61,88,4,27,0.3068181818181818,0.017828858052136548,56,57.4
2025-07-15,4858,-0.007404200227953878,43,68,5,25,0.36764705882352944,0.021989442589635946,61,53.8
2025-07-16,4858,0.005568277705761397,52,75,6,23,0.30666666666666664,0.021980437494017412,43,54.0
2025-07-17,4860,0.009312735961383671,55,86,7,31,0.36046511627906974,0.022041669440660563,52,53.4
2025-07-18,4860,0.002466401417529564,40,62,8,22,0.3548387096774194,0.01997961417283333,55,50.2
2025-07-21,4861,0.01309470349439667,110,145,9,35,0.2413793103448276,0.018111359251210893,40,60.0
2025-07-22,4861,0.0032709380633295696,93,118,10,25,0.211864406779661,0.056903880387548456,110,70.0
2025-07-23,4862,-0.006374114364959327,50,106,4,56,0.5283018867924528,0.01638142874278018,93,69.6
2025-07-24,4862,0.012336064436591927,69,91,4,22,0.24175824175824176,0.013970727797193782,49,72.4
2025-07-25,4864,0.0022767136355195134,44,78,5,34,0.4358974358974359,-0.006598576166230498,69,73.2
2025-07-28,4863,0.005136556335676538,55,80,6,25,0.3125,0.003563517267040339,44,62.2
2025-07-29,4865,0.002447690059500421,37,62,7,25,0.4032258064516129,0.011422069978193124,55,51.0
2025-07-30,4866,-0.0048161719099791755,45,71,8,26,0.36619718309859156,0.03678337741794286,37,50.0
2025-07-31,4863,-0.010463834773247416,40,70,9,30,0.42857142857142855,0.023976269991783858,44,44.2
2025-08-01,4863,0.004844373669459584,40,70,3,30,0.42857142857142855,0.010275414173469513,40,43.4
2025-08-04,4865,0.012116889547867191,52,72,4,20,0.2777777777777778,0.018253784181413785,40,42.8
2025-08-05,4867,0.00897037423867158,52,75,4,23,0.30666666666666664,0.02180117438268507,52,45.8
2025-08-06,4868,0.007949685951425069,55,77,5,22,0.2857142857142857,0.017785307546007375,52,47.8
2025-08-07,4869,0.0001891486235742615,55,76,5,21,0.27631578947368424,0.030834377775800424,55,50.8
2025-08-08,4869,0.00011546441075732398,56,88,5,32,0.36363636363636365,0.003088851086965771,55,54.0
2025-08-11,4868,0.014692074544851844,74,108,3,34,0.3148148148148148,0.022429188741364993,56,58.4
2025-08-12,4869,0.00022207550905871198,46,71,4,25,0.352112676056338,0.021871298527141526,74,57.2
2025-08-13,4868,0.006941281800880663,86,122,5,36,0.29508196721311475,0.04711262582276174,46,63.4
2025-08-14,4869,-0.017246949751734117,42,81,4,39,0.48148148148148145,0.022766001348218594,86,60.8
2025-08-15,4870,0.017593853540693122,81,121,5,40,0.3305785123966942,0.029316024497633625,42,65.8
2025-08-18,4869,0.01486524577486333,90,148,6,58,0.3918918918918919,0.03772061877321537,81,69.0
2025-08-19,4869,0.004997607698589261,82,129,4,47,0.3643410852713178,0.030606273999255893,90,76.2
2025-08-20,4867,0.00756757651347522,84,109,5,25,0.22935779816513763,0.0016771411727467024,81,75.8
2025-08-21,4867,-0.0027356612747562684,39,75,5,36,0.48,-0.009020191752043574,84,75.2
2025-08-22,4869,0.0070844257742233565,67,83,6,16,0.1927710843373494,0.018917159923378113,39,72.4
2025-08-25,4871,0.010654919567115425,71,118,6,47,0.3983050847457627,0.020981979870374395,67,68.6
2025-08-26,4871,0.0025372092624856603,65,99,7,34,0.3434343434343434,0.018627064127971098,71,65.2
2025-08-27,4874,-0.023656018291779903,41,90,4,49,0.5444444444444444,0.024015201931150407,65,56.6
2025-08-28,4873,0.006673937692285564,51,80,5,29,0.3625,0.020761642266516646,41,59.0
2025-08-29,4873,-0.002224357678012965,62,87,6,25,0.28735632183908044,0.027071092606838612,51,58.0
2025-09-01,4872,0.009499344526282535,92,125,7,33,0.264,0.027344403746967023,62,62.2
2025-09-02,4873,-0.016869936098359566,41,84,8,43,0.5119047619047619,0.012144950672263257,92,57.4
2025-09-03,4876,-0.018576847772246736,28,65,9,37,0.5692307692307692,0.02150285933166105,41,54.8
2025-09-04,4876,-0.00920068675632955,34,61,3,27,0.4426229508196721,-5.920843274217699e-05,27,51.4
2025-09-05,4876,0.023789954130828822,86,107,4,21,0.19626168224299065,-0.007813026270417689,34,56.2
2025-09-08,4877,0.013534043446037489,65,94,4,29,0.30851063829787234,0.019417017343539338,86,50.8
2025-09-09,4880,-0.009663919992163929,44,72,10,28,0.3888888888888889,0.02157657016655644,65,51.4
2025-09-10,4880,0.001900878955147494,46,71,11,25,0.352112676056338,0.02428512880428632,44,55.0
2025-09-11,4878,0.015812223448105418,84,107,3,23,0.21495327102803738,0.012862782749531062,45,65.0
2025-09-12,4879,-0.00019748252394663246,61,86,4,25,0.29069767441860467,0.030526342237608618,84,60.0
2025-09-15,4877,-0.000820599720972199,63,97,5,34,0.35051546391752575,0.013390773885424978,60,59.6
2025-09-16,4877,0.01104198731743956,65,100,4,35,0.35,0.011588955979875498,63,63.8
2025-09-17,4876,0.003705024443182393,60,86,4,26,0.3023255813953488,0.025552498377932525,65,66.6
2025-09-18,4876,-0.013379951034429705,52,119,12,67,0.5630252100840336,0.038692818156647386,60,60.2
2025-09-19,4876,-0.004690421307308016,49,76,13,27,0.35526315789473684,-0.007533569334966276,52,57.8
2025-09-22,4876,0.0019521433368617494,63,89,14,26,0.29213483146067415,0.007681435306863359,49,57.8
2025-09-23,4876,-0.011649271615921336,44,67,15,23,0.34328358208955223,0.043958815743382215,63,53.6
2025-09-24,4874,0.015811176693859934,73,103,4,30,0.2912621359223301,0.0077219354494419135,43,56.2
2025-09-25,4875,-0.004873927927217377,42,62,5,20,0.3225806451612903,0.012607392196230902,73,54.2
2025-09-26,4874,-0.008404770253809127,41,69,5,28,0.4057971014492754,0.002510201071406897,41,52.6
2025-09-29,4872,0.009475045635492963,53,80,6,27,0.3375,-0.00967427113996425,41,50.6
2025-09-30,4872,0.0047690806263741255,48,75,7,27,0.36,0.01661027821373284,53,51.4
2025-10-09,4871,0.00794305708948342,83,130,3,47,0.36153846153846153,0.0053957122275508605,47,53.4
2025-10-10,4872,-0.003713649205378381,55,86,3,31,0.36046511627906974,0.018975124863184235,83,56.0
2025-10-13,4874,-0.0032047212114335406,57,79,4,22,0.27848101265822783,0.018011406526551012,55,59.2
2025-10-14,4878,-0.011558221993091037,36,87,4,51,0.5862068965517241,0.03726488000040222,57,55.8
2025-10-15,4878,0.01423730532811374,60,76,3,16,0.21052631578947367,-0.00984483219972837,36,58.2
2025-10-16,4880,-0.009942757421431601,37,57,3,20,0.3508771929824561,0.02321095140843009,60,49.0
2025-10-17,4882,-0.02285746299010514,35,54,4,19,0.35185185185185186,0.037979519743187695,37,45.0
2025-10-20,4880,0.012602653614358009,72,99,5,27,0.2727272727272727,0.01937818140241656,34,48.0
2025-10-21,4882,0.016334363561203144,69,94,6,25,0.26595744680851063,-0.002743725856600472,72,54.6
2025-10-22,4881,-0.001981945153431461,51,78,7,27,0.34615384615384615,0.023999453153646513,69,52.8
2025-10-23,4883,0.0018014462627485737,54,77,8,23,0.2987012987012987,-0.009784091743569319,51,56.2
2025-10-24,4883,0.006973665581018179,50,75,4,25,0.3333333333333333,-0.026094432738997354,54,59.2
2025-10-27,4881,0.008195682632490887,51,87,5,36,0.41379310344827586,0.020313668761848543,49,55.0
2025-10-28,4879,0.00043414086473629387,51,75,6,24,0.32,0.03108027213114223,51,51.4
2025-10-29,4880,0.003127895158203441,54,88,6,34,0.38636363636363635,0.006928734430191313,51,52.0
2025-10-30,4882,-0.011239242731496903,43,62,7,19,0.3064516129032258,0.024535957344291377,54,49.8
2025-10-31,4882,0.008360158553378244,54,96,8,42,0.4375,-0.0011107479807826639,43,50.6
2025-11-03,4884,0.007577843143006472,60,91,5,31,0.34065934065934067,0.019826156778117703,54,52.4
2025-11-04,4884,-0.007426417199088065,45,68,6,23,0.3382352941176471,0.03736149642113705,60,51.2
2025-11-05,4883,0.006843593742207282,60,91,7,31,0.34065934065934067,0.02701091848293627,45,52.4
2025-11-06,4884,0.005468488665151394,59,101,8,42,0.4158415841584158,0.005127319996032972,60,55.6
2025-11-07,4884,-0.0014000965506176504,48,82,9,34,0.4146341463414634,0.02953834853338587,59,54.4
2025-11-10,4887,0.006806366899537528,63,112,5,49,0.4375,0.021390884069706552,48,55.0
2025-11-11,4889,0.002194825388264456,62,92,6,30,0.32608695652173914,0.030162489044459406,63,58.4
2025-11-12,4890,-0.004924711560849878,52,80,7,28,0.35,0.024415038770842012,62,56.8
2025-11-13,4890,0.01105883343967589,80,129,8,49,0.3798449612403101,0.026754414806657044,52,61.0
2025-11-14,4888,-0.00407302036344103,66,99,7,33,0.3333333333333333,0.017394282485263264,80,64.6
2025-11-17,4888,0.0021292447006472015,79,107,8,28,0.2616822429906542,0.02230808195332641,66,67.8
2025-11-18,4888,-0.011024005597215994,40,68,6,28,0.4117647058823529,0.008690697679577572,77,63.4
2025-11-19,4891,-0.01151809257339696,52,78,6,26,0.3333333333333333,0.042304039049839946,40,63.4
2025-11-20,4893,-0.007474804492464514,36,79,7,43,0.5443037974683544,-0.008297760770713807,52,54.6
2025-11-21,4895,-0.037216809915652155,25,45,6,20,0.4444444444444444,0.026689515174403627,36,46.4
2025-11-24,4892,0.015027274750062622,62,88,7,26,0.29545454545454547,0.03223019335034166,25,43.0
2025-11-25,4892,0.013495056712092921,71,101,5,30,0.297029702970297,0.011431889114115645,61,49.2
2025-11-26,4891,-0.0035071997495189746,60,90,4,30,0.3333333333333333,0.030568969718256716,71,50.8
2025-11-27,4890,0.003153725410204397,49,86,4,37,0.43023255813953487,-0.015559198686165166,60,53.4
2025-11-28,4889,0.012214980564894517,65,94,5,29,0.30851063829787234,-0.003404094975834108,49,61.4
2025-12-01,4890,0.00626440908521316,59,92,6,33,0.358695652173913,0.024960309518979935,65,60.8
2025-12-02,4890,-0.00516878901116457,44,67,7,23,0.34328358208955223,0.02065781181857696,59,55.4
2025-12-03,4896,-0.007308143695250954,45,79,6,34,0.43037974683544306,0.017800725477877685,44,52.4
2025-12-04,4895,-0.007188180478222911,35,64,4,29,0.453125,0.008981711742174521,44,49.6
2025-12-05,4893,0.013963002964398572,63,89,4,26,0.29213483146067415,0.0022428969655989787,35,49.2
2025-12-08,4894,0.009354431267659204,67,107,5,40,0.37383177570093457,0.04519425087063837,62,50.8
2025-12-09,4893,-0.0066245398467893,49,80,6,31,0.3875,0.02887377724763159,66,51.8
2025-12-10,4892,0.0008381132326530129,52,83,6,31,0.37349397590361444,0.01413833115500461,49,53.2
