scenario,regime,h,spread_HiLo,t,n_hi,n_lo,sp_h1,sp_h2,stable
streak2,lu_premium_1d,10,0.02323,1.35,117,106,0.04055,-0.00935,False
hivol,limit_up_count,1,-0.00037,-0.13,166,158,0.00227,-0.00251,False
hivol,limit_up_count_ma5,1,-0.00033,-0.13,167,165,0.00129,-0.00186,False
hivol,blow_rate,1,-0.00128,-0.53,166,167,-0.00018,-0.00324,True
hivol,max_board_height,1,0.00286,1.03,158,152,0.00192,0.00352,True
hivol,lu_premium_1d,1,-0.00105,-0.39,167,167,-0.00461,0.00194,False
hivol,limit_up_count,3,0.0003,0.06,165,157,0.00593,-0.0036,False
hivol,limit_up_count_ma5,3,-0.00275,-0.6,167,165,-0.00082,-0.00461,True
hivol,blow_rate,3,-0.003,-0.62,165,166,-0.00977,0.00025,False
hivol,max_board_height,3,0.0134,2.67,158,152,0.01022,0.01349,True
hivol,lu_premium_1d,3,0.00566,1.16,166,166,0.00882,0.00072,True
hivol,limit_up_count,5,-0.00237,-0.36,165,156,0.00258,-0.00428,False
hivol,limit_up_count_ma5,5,-0.00612,-1.0,165,165,-0.00718,-0.00405,True
hivol,blow_rate,5,-0.01098,-1.8,163,166,-0.01638,-0.01199,True
hivol,max_board_height,5,0.01484,2.31,158,152,0.00955,0.01485,True
hivol,lu_premium_1d,5,0.00388,0.61,166,164,0.0036,0.00141,True
hivol,limit_up_count,10,-0.01061,-1.13,161,156,-0.01078,-0.00409,True
hivol,limit_up_count_ma5,10,-0.01996,-2.25,163,165,-0.02396,-0.01289,True
hivol,blow_rate,10,-0.01947,-2.39,162,163,-0.02461,-0.02466,True
hivol,max_board_height,10,0.00789,0.96,156,152,-0.01358,0.01757,False
hivol,lu_premium_1d,10,0.01398,1.55,165,162,0.01883,0.00302,True
hito,limit_up_count,1,-0.00066,-0.25,166,158,0.00208,-0.00296,False
hito,limit_up_count_ma5,1,-0.0005,-0.2,167,165,0.00146,-0.00237,False
hito,blow_rate,1,-0.00078,-0.34,166,167,-0.00028,-0.00224,True
hito,max_board_height,1,0.00314,1.16,158,152,0.00216,0.00382,True
hito,lu_premium_1d,1,-0.00139,-0.53,167,167,-0.00425,0.00092,False
hito,limit_up_count,3,-0.00019,-0.04,165,157,0.00533,-0.00385,False
hito,limit_up_count_ma5,3,-0.00247,-0.56,167,165,0.00042,-0.00526,False
hito,blow_rate,3,-0.00219,-0.47,165,166,-0.00984,0.00157,False
hito,max_board_height,3,0.01422,2.93,158,152,0.01083,0.01437,True
hito,lu_premium_1d,3,0.00482,1.03,166,166,0.00781,-8e-05,False
hito,limit_up_count,5,-0.00332,-0.52,165,156,0.00177,-0.00526,False
hito,limit_up_count_ma5,5,-0.0062,-1.04,165,165,-0.0064,-0.00498,True
hito,blow_rate,5,-0.00916,-1.56,163,166,-0.01532,-0.00978,True
hito,max_board_height,5,0.01663,2.67,158,152,0.01059,0.01695,True
hito,lu_premium_1d,5,0.00345,0.56,166,164,0.00217,0.00175,True
hito,limit_up_count,10,-0.01249,-1.37,161,156,-0.01237,-0.00634,True
hito,limit_up_count_ma5,10,-0.02173,-2.53,163,165,-0.02464,-0.01588,True
hito,blow_rate,10,-0.01649,-2.05,162,163,-0.02265,-0.02117,True
hito,max_board_height,10,0.00866,1.08,156,152,-0.01447,0.01971,False
hito,lu_premium_1d,10,0.01162,1.33,165,162,0.01591,0.001,True
illiq,limit_up_count,1,-0.0,-0.0,166,158,0.00226,-0.00208,False
illiq,limit_up_count_ma5,1,-0.00069,-0.34,167,165,0.00135,-0.00262,False
illiq,blow_rate,1,-3e-05,-0.02,166,167,0.00038,-0.0016,False
illiq,max_board_height,1,0.00284,1.37,158,152,0.00362,0.00153,True
illiq,lu_premium_1d,1,-0.00169,-0.85,167,167,-0.00146,-0.0023,True
illiq,limit_up_count,3,-0.0005,-0.14,165,157,0.00506,-0.00487,False
illiq,limit_up_count_ma5,3,-0.00314,-0.92,167,165,0.00013,-0.00606,False
illiq,blow_rate,3,0.0,0.0,165,166,-0.00576,0.00252,False
illiq,max_board_height,3,0.01121,3.1,158,152,0.01347,0.00691,True
illiq,lu_premium_1d,3,0.00353,1.01,166,166,0.01022,-0.00458,False
illiq,limit_up_count,5,-0.0037,-0.8,165,156,0.00291,-0.00834,False
illiq,limit_up_count_ma5,5,-0.00695,-1.56,165,165,-0.00674,-0.00593,True
illiq,blow_rate,5,-0.00301,-0.72,163,166,-0.01071,-0.00016,True
illiq,max_board_height,5,0.01451,3.26,158,152,0.01087,0.01298,True
illiq,lu_premium_1d,5,0.00392,0.89,166,164,0.00478,0.00065,True
illiq,limit_up_count,10,-0.00918,-1.49,161,156,-0.00892,-0.00414,True
illiq,limit_up_count_ma5,10,-0.01698,-2.82,163,165,-0.01979,-0.0112,True
illiq,blow_rate,10,-0.00633,-1.15,162,163,-0.01608,-0.00681,True
illiq,max_board_height,10,0.00901,1.69,156,152,-0.00934,0.01623,False
illiq,lu_premium_1d,10,0.00777,1.32,165,162,0.01573,-0.00535,False
bigup,limit_up_count,1,-0.00046,-0.16,166,155,-0.00061,0.00059,False
bigup,limit_up_count_ma5,1,-0.00041,-0.16,167,162,-0.00071,9e-05,False
bigup,blow_rate,1,0.00022,0.09,164,167,0.00067,-0.00077,False
bigup,max_board_height,1,0.001,0.36,157,150,-0.00219,0.00328,False
bigup,lu_premium_1d,1,-0.0006,-0.22,165,165,-0.00302,0.00135,False
bigup,limit_up_count,3,0.00065,0.12,165,154,0.00211,0.00147,True
bigup,limit_up_count_ma5,3,-0.00137,-0.27,167,162,-0.00357,0.00137,False
bigup,blow_rate,3,-0.00239,-0.46,163,166,-0.01097,0.00333,False
bigup,max_board_height,3,0.01214,2.29,157,150,0.0057,0.01449,True
bigup,lu_premium_1d,3,0.00407,0.75,164,164,0.00651,0.00046,True
bigup,limit_up_count,5,-0.00063,-0.09,165,153,-0.00299,0.00595,False
bigup,limit_up_count_ma5,5,-0.00511,-0.7,165,162,-0.0098,0.00095,False
bigup,blow_rate,5,-0.01155,-1.74,161,166,-0.01605,-0.01373,True
bigup,max_board_height,5,0.0129,1.82,157,150,0.00286,0.01593,True
bigup,lu_premium_1d,5,0.00011,0.01,164,162,-0.00397,0.00196,False
bigup,limit_up_count,10,-0.01244,-1.18,161,153,-0.02182,0.00481,False
bigup,limit_up_count_ma5,10,-0.02596,-2.46,163,162,-0.03541,-0.01335,True
bigup,blow_rate,10,-0.02088,-2.35,160,163,-0.02586,-0.02657,True
bigup,max_board_height,10,-0.00161,-0.17,155,150,-0.03335,0.0154,False
bigup,lu_premium_1d,10,0.00739,0.69,163,160,0.00842,0.00174,True
bigdn,limit_up_count,1,-0.00298,-0.81,103,125,0.00175,-0.00634,False
bigdn,limit_up_count_ma5,1,-0.00413,-1.17,93,140,0.00049,-0.00732,False
bigdn,blow_rate,1,-0.00085,-0.25,113,114,-0.00342,0.0,False
bigdn,max_board_height,1,0.00295,0.78,92,120,0.00491,0.00264,True
bigdn,lu_premium_1d,1,-0.00022,-0.07,120,121,-0.00719,0.00464,False
bigdn,limit_up_count,3,-0.00438,-0.71,102,124,0.00786,-0.01272,False
bigdn,limit_up_count_ma5,3,-0.00745,-1.26,93,140,0.0021,-0.01579,False
bigdn,blow_rate,3,0.00216,0.36,112,113,-0.00721,0.00752,False
bigdn,max_board_height,3,0.01307,2.11,92,120,0.01268,0.01449,True
bigdn,lu_premium_1d,3,0.00274,0.48,119,120,0.00048,0.00291,True
bigdn,limit_up_count,5,-0.01115,-1.29,102,123,-0.00226,-0.017,True
bigdn,limit_up_count_ma5,5,-0.00972,-1.18,91,140,-0.00386,-0.014,True
bigdn,blow_rate,5,-0.00669,-0.83,110,113,-0.01834,-0.00018,True
bigdn,max_board_height,5,0.01886,2.15,92,120,0.01759,0.02112,True
bigdn,lu_premium_1d,5,0.00103,0.12,119,118,-0.00634,0.00356,False
bigdn,limit_up_count,10,-0.01262,-0.95,98,123,-0.00692,-0.01203,True
bigdn,limit_up_count_ma5,10,-0.02965,-2.18,89,140,-0.03149,-0.02501,True
bigdn,blow_rate,10,-0.02513,-2.04,110,110,-0.04046,-0.01888,True
bigdn,max_board_height,10,0.00901,0.75,90,120,-0.02014,0.02664,False
bigdn,lu_premium_1d,10,0.01445,1.14,118,116,0.01836,0.00469,True
